scope,height_m,nmse,mean_error_norm,mean_error_encoded,mae_norm,rmse_norm,mae_encoded,rmse_encoded,psnr_db,ssim,eval_rx_count,strategy,round,sampled_rx_count,sampled_ratio,new_budget_rx_count,eval_scope
overall,,0.0008092906553946567,-0.017807380523435393,-4.540882033476025,0.017807380523435393,0.018449935438272665,4.540882033476025,4.704733536759529,34.68010298451682,0.9792187385918975,3563,uniform_grid,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0008357771801837763,-0.01807178883537483,-4.608306153020582,0.01807178883537483,0.01874901779196434,4.608306153020582,4.780999536950907,34.540429576008556,0.9777278325806944,3481,uniform_grid,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,weak_only,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0010585575647293073,-0.020562904545815795,-5.243540659183028,0.020562904545815795,0.02110911231441161,5.243540659183028,5.38282364017496,33.510600587336704,0.9788097414024939,3809,weak_only,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0010755035096492458,-0.02076965189824515,-5.296261234052513,0.02076965189824515,0.021287856709339373,5.296261234052513,5.42840346088154,33.43736123451541,0.9808001866625771,3727,weak_only,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0011181036185063365,-0.021225386506408983,-5.41247355913429,0.021225386506408983,0.021711799163962563,5.41247355913429,5.536508786810454,33.26608373855249,0.9815245940492989,3645,weak_only,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0010784684222055895,-0.020855651639868227,-5.318191168166398,0.020855651639868227,0.021330794902024705,5.318191168166398,5.4393527000163,33.41985920125008,0.9822896914653491,3563,weak_only,4,533,0.130126953125,82,unmeasured_rx
overall,,0.001067788194918776,-0.020749960538814272,-5.2912399373976395,0.020749960538814272,0.021230881324793515,5.2912399373976395,5.413874737822346,33.46063954527152,0.9827419557003682,3481,weak_only,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,building_only,0,205,0.050048828125,0,unmeasured_rx
overall,,0.0008502065991004164,-0.01822997796688846,-4.648644381556557,0.01823199601209705,0.018907625058424353,4.649158983084748,4.82144438989821,34.467260368414685,0.9763356557575544,3809,building_only,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0008109370526139601,-0.017798655916546124,-4.538657258719262,0.017799760209736826,0.018465429427630634,4.5389388534828905,4.708684504045812,34.672811760929676,0.9776454495853409,3727,building_only,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0008298204076273389,-0.018000147323058956,-4.590037567380033,0.01800017394483171,0.018678605618120625,4.590044355932086,4.7630444326207595,34.57311095072525,0.9771074801822222,3645,building_only,3,451,0.110107421875,82,unmeasured_rx
overall,,0.0007988537626040481,-0.017590673124392046,-4.485621646719972,0.01759102780799534,0.018326890806867443,4.4857120910388115,4.673357155751198,34.73822415406189,0.9749553566360032,3563,building_only,4,533,0.130126953125,82,unmeasured_rx
overall,,0.0008096196496027067,-0.017705954788951,-4.515018471182505,0.017705954788951,0.01844811245238163,4.515018471182505,4.704268675357316,34.68096125508556,0.9745358956013582,3481,building_only,5,615,0.150146484375,82,unmeasured_rx
overall,,0.0009637234514571249,-0.01952309911461239,-4.97839027422616,0.01952309911461239,0.02013090816513518,4.97839027422616,5.133381582109471,33.92273264707519,0.976977233015187,3891,proposed,0,205,0.050048828125,0,unmeasured_rx
overall,,0.000989634122629591,-0.019783713633571592,-5.044846976560756,0.019783713633571592,0.020402596207319268,5.044846976560756,5.202662032866414,33.80629131150961,0.9778462028638688,3809,proposed,1,287,0.070068359375,82,unmeasured_rx
overall,,0.0009193022071768,-0.019031149022599024,-4.852943000762751,0.019031149022599024,0.019665750381604823,4.852943000762751,5.01476634730923,34.12578955322827,0.9785476281256725,3727,proposed,2,369,0.090087890625,82,unmeasured_rx
overall,,0.0009214248078654361,-0.019096189124103435,-4.869528226646376,0.019096189124103435,0.019692565970234135,4.869528226646376,5.021604322409704,34.11395381933297,0.9797502369446482,3645,proposed,3,451,0.110107421875,82,unmeasured_rx
